x	yield	xf	
630.043	2.17071e-272	25.4453	
636.693	2.85467e-275	25.4453	
643.413	3.49966e-278	25.4453	
650.204	3.99653e-281	25.4453	
657.066	4.24831e-284	25.4453	
664.001	4.20021e-287	25.4453	
671.01	3.85948e-290	25.4453	
678.092	3.29346e-293	25.4453	
685.249	2.60797e-296	25.4453	
692.481	1.91495e-299	25.4453	
699.79	1.30266e-302	25.4453	
707.176	8.20345e-306	25.4453	
714.64	4.77854e-309	25.4453	
722.183	2.57267e-312	25.4453	
729.805	1.27901e-315	25.4453	
737.508	5.82251e-319	25.4453	
745.292	0	25.4453	
753.158	0	25.4453	
761.107	0	25.4453	
769.141	0	25.4453	
777.258	0	25.4453	
785.462	0	25.4453	
793.752	0	25.4453	
802.13	0	25.4453	
810.596	0	25.4453	
819.152	0	25.4453	
827.797	0	25.4453	
836.535	0	25.4453	
845.364	0	25.4453	
854.286	0	25.4453	
863.303	0	25.4453	
872.415	0	25.4453	
881.623	0	25.4453	
890.928	0	25.4453	
900.331	0	25.4453	
909.834	0	25.4453	
919.437	0	25.4453	
929.141	0	25.4453	
938.948	0	25.4453	
948.858	0	25.4453	
958.873	0	25.4453	
968.993	0	25.4453	
979.22	0	25.4453	
989.556	0	25.4453	
1000	0	25.4453	
