x	tac
33.056	1.28123e-07
33.0568	1.28123e-07
33.0576	1.28123e-07
33.0584	1.28124e-07
33.0592	1.28124e-07
33.06	1.28124e-07
33.0608	1.28124e-07
33.0616	1.28125e-07
33.0624	1.28125e-07
33.0632	1.28125e-07
33.064	1.28125e-07
33.0648	1.28126e-07
33.0656	1.28126e-07
33.0664	1.28126e-07
33.0672	1.28127e-07
33.068	1.28127e-07
33.0688	1.28127e-07
33.0696	1.28127e-07
33.0704	1.28128e-07
33.0712	1.28128e-07
33.072	1.28128e-07
33.0728	1.28128e-07
33.0736	1.28129e-07
33.0744	1.03909e-07
33.0752	1.03909e-07
33.076	1.03909e-07
33.0768	1.03909e-07
33.0776	1.0391e-07
33.0784	1.0391e-07
33.0792	1.0391e-07
33.08	1.0391e-07
33.0808	1.03911e-07
33.0816	1.03911e-07
33.0824	1.03911e-07
33.0832	1.03911e-07
33.084	1.03911e-07
33.0848	1.03912e-07
33.0856	1.03912e-07
33.0864	1.03912e-07
33.0872	1.03912e-07
33.088	1.03913e-07
33.0888	1.03913e-07
33.0896	1.03913e-07
33.0904	1.03913e-07
33.0912	1.03913e-07
33.092	1.03914e-07
33.0928	1.03914e-07
33.0936	1.03914e-07
33.0944	1.03914e-07
33.0952	1.03915e-07
33.096	1.03915e-07
33.0968	1.03915e-07
33.0976	1.03915e-07
33.0984	1.03915e-07
33.0992	1.03916e-07
33.1	8.6424e-08
33.1008	8.64242e-08
33.1016	8.64244e-08
33.1024	8.64246e-08
33.1032	8.64248e-08
33.104	8.64249e-08
33.1048	8.64251e-08
33.1056	8.64253e-08
33.1064	8.64255e-08
33.1072	8.64257e-08
33.108	8.64259e-08
33.1088	8.6426e-08
33.1096	8.64262e-08
33.1104	8.64264e-08
33.1112	8.64266e-08
33.112	8.64268e-08
33.1128	8.6427e-08
33.1136	8.64272e-08
33.1144	8.64273e-08
33.1152	8.64275e-08
33.116	8.64277e-08
33.1168	8.64279e-08
33.1176	8.64281e-08
33.1184	8.64283e-08
33.1192	8.64284e-08
33.12	8.64286e-08
33.1208	8.64288e-08
33.1216	8.6429e-08
33.1224	8.64292e-08
33.1232	8.64294e-08
33.124	8.64295e-08
33.1248	7.33047e-08
33.1256	7.33048e-08
33.1264	7.3305e-08
33.1272	7.33051e-08
33.128	7.33053e-08
33.1288	7.33054e-08
33.1296	7.33056e-08
33.1304	7.33057e-08
33.1312	7.33059e-08
33.132	7.33061e-08
33.1328	7.33062e-08
33.1336	7.33064e-08
33.1344	7.33065e-08
33.1352	7.33067e-08
33.136	7.33068e-08
33.1368	7.3307e-08
33.1376	7.33071e-08
33.1384	7.33073e-08
33.1392	7.33075e-08
33.14	7.33076e-08
33.1408	7.33078e-08
33.1416	7.33079e-08
33.1424	7.33081e-08
33.1432	7.33082e-08
33.144	7.33084e-08
33.1448	7.33085e-08
33.1456	7.33087e-08
33.1464	7.33089e-08
33.1472	7.3309e-08
33.148	7.33092e-08
33.1488	7.33093e-08
33.1496	7.33095e-08
33.1504	6.31621e-08
33.1512	6.31622e-08
33.152	6.31623e-08
33.1528	6.31625e-08
33.1536	6.31626e-08
33.1544	6.31627e-08
33.1552	6.31629e-08
33.156	6.3163e-08
33.1568	6.31631e-08
33.1576	6.31633e-08
33.1584	6.31634e-08
33.1592	6.31635e-08
33.16	6.31637e-08
33.1608	6.31638e-08
33.1616	6.31639e-08
33.1624	6.31641e-08
33.1632	6.31642e-08
33.164	6.31643e-08
33.1648	6.31645e-08
33.1656	6.31646e-08
33.1664	6.31647e-08
33.1672	6.31649e-08
33.168	6.3165e-08
33.1688	6.31651e-08
33.1696	6.31653e-08
33.1704	6.31654e-08
33.1712	6.31655e-08
33.172	6.31657e-08
33.1728	6.31658e-08
33.1736	6.31659e-08
33.1744	6.31661e-08
33.1752	5.51296e-08
33.176	5.51297e-08
33.1768	5.51298e-08
33.1776	5.513e-08
33.1784	5.51301e-08
33.1792	5.51302e-08
33.18	5.51303e-08
33.1808	5.51304e-08
33.1816	5.51305e-08
33.1824	5.51307e-08
33.1832	5.51308e-08
33.184	5.51309e-08
33.1848	5.5131e-08
33.1856	5.51311e-08
33.1864	5.51312e-08
33.1872	5.51314e-08
33.188	5.51315e-08
33.1888	5.51316e-08
33.1896	5.51317e-08
33.1904	5.51318e-08
