Temp	omega_1
102.1532385618165	226.2037870723946
102.0	226.3022379246005
101.1532385618165	226.8426181416517
101.0	226.9397397301285
100.1532385618165	227.4725943323348
100.0	227.5683226430785
99.15323856181652	228.0933159218546
99.0	228.187593294229
98.15323856181652	228.7044232473667
98.0	228.7971980043167
97.15323856181652	229.3055943480788
97.0	229.3968203450431
96.15323856181652	229.8965426529412
96.0	229.9861789279817
95.15323856181652	230.4770146178447
95.0	230.5650251084527
94.15323856181652	231.0467876657988
94.0	231.1331408286376
93.15323856181652	231.6056678837896
93.0	231.6903364955444
92.71454515320056	231.8473638748831
92.15323856181652	232.1534883244338
92.0	232.2364489643555
91.15323856181652	232.6901067780478
91.0	232.771339751315
90.15323856181652	233.2154041857808
90.0	233.2948932091043
89.15323856181652	233.7292829358428
89.0	233.8070148235924
88.15323856181652	234.2316652032076
88.0	234.3076296919028
87.15323856181652	234.7224915194662
87.0	234.796681029478
86.15323856181652	235.2017193816567
86.0	235.2741288689984
85.15323856181652	235.6693220512548
85.0	235.739948627125
84.15323856181652	236.1252872145425
84.0	236.1941302745653
83.15323856181652	236.569616043307
83.0	236.6366768153595
82.15323856181652	237.0023220519617
82.0	237.0676037540163
81.81818181818181	237.1447076081804
81.15323856181652	237.4234303369196
81.0	237.4869377165026
80.15323856181652	237.8329766158311
80.0	237.8947160613273
79.15323856181652	238.2310064382304
79.0	238.2909857225337
78.15323856181652	238.617574576074
78.0	238.675802858342
77.26212096100046	238.9524458102943
77.15323856181652	238.9927443079369
77.0	239.0492320205484
76.15323856181652	239.3565868527681
76.0	239.4113455792695
75.15323856181652	239.7091809053825
75.0	239.7622233349194
74.15323856181652	240.0506120888772
74.0	240.1019519509615
73.15323856181652	240.3809726002618
73.0	240.430624511088
72.15323856181652	240.7003607679763
72.0	240.7483403665568
71.15323856181652	241.0088809824193
71.0	241.0552045754226
70.15323856181652	241.306642684172
70.0	241.3513277459605
69.15323856181652	241.5937611015608
69.0	241.6368257061296
68.15323856181652	241.8703564298117
68.0	241.9118194086061
67.15323856181652	242.1365537321039
67.0	242.1764348691148
66.15323856181652	242.3924828678315
66.0	242.4308022846126
65.15323856181652	242.6382783345342
65.0	242.6750570403941
64.15323856181652	242.8740791057295
64.0	242.9093388377832
63.15323856181652	243.1000287583954
63.0	243.1337918497178
62.15323856181652	243.316275117803
62.0	243.3485646326825
61.80969676880036	243.3883527317009
61.15323856181652	243.5229705336374
61.0	243.5538102021195
60.15323856181652	243.7202716131133
60.0	243.749685860474
59.15323856181652	243.9083394712282
59.0	243.9363533225615
58.15323856181652	244.0873395345088
58.0	244.1139787498283
57.15323856181652	244.2574416878923
57.0	244.2827326763948
56.15323856181652	244.4188202834051
56.0	244.4427901917042
55.15323856181652	244.5716542719881
55.0	244.5943309181264
54.54545454545455	244.6604472235951
54.15323856181652	244.7161271462067
54.0	244.7375390628395
53.15323856181652	244.8524271068174
53.0	244.8726035507808
52.15323856181652	244.9807470908877
52.0	244.9997180420184
51.15323856181652	245.1012849019454
51.0	245.1190810900354
